gene	module
TRINITY_DN9487_c0_g3	grey
TRINITY_DN108779_c0_g1	turquoise
TRINITY_DN45714_c0_g1	blue
TRINITY_DN235477_c0_g1	green
TRINITY_DN81880_c2_g1	blue
TRINITY_DN2105_c2_g1	blue
TRINITY_DN166_c4_g1	turquoise
TRINITY_DN12112_c1_g1	turquoise
TRINITY_DN3373_c9_g1	blue
TRINITY_DN12694_c0_g1	turquoise
TRINITY_DN32612_c0_g1	grey
TRINITY_DN716_c1_g3	turquoise
TRINITY_DN10726_c13_g1	grey
TRINITY_DN168166_c0_g1	turquoise
TRINITY_DN31350_c0_g1	grey
TRINITY_DN4236_c4_g1	turquoise
TRINITY_DN1242_c4_g1	blue
TRINITY_DN3209_c2_g1	turquoise
TRINITY_DN200259_c0_g1	turquoise
TRINITY_DN100293_c1_g1	blue
TRINITY_DN833_c6_g1	blue
TRINITY_DN526_c2_g1	blue
TRINITY_DN108442_c0_g1	blue
TRINITY_DN3679_c1_g2	turquoise
TRINITY_DN692_c12_g1	blue
TRINITY_DN5449_c0_g1	blue
TRINITY_DN14486_c0_g1	blue
TRINITY_DN849_c1_g2	blue
TRINITY_DN2115_c0_g1	turquoise
TRINITY_DN107112_c2_g1	turquoise
TRINITY_DN127935_c3_g1	blue
TRINITY_DN4801_c2_g1	blue
TRINITY_DN5876_c1_g2	turquoise
TRINITY_DN81470_c1_g1	blue
TRINITY_DN74032_c0_g1	grey
TRINITY_DN112467_c0_g1	blue
TRINITY_DN5708_c0_g1	blue
TRINITY_DN2704_c0_g1	yellow
TRINITY_DN6844_c0_g1	turquoise
TRINITY_DN19633_c0_g1	turquoise
TRINITY_DN465_c0_g1	blue
TRINITY_DN68676_c2_g1	turquoise
TRINITY_DN4738_c3_g1	turquoise
TRINITY_DN126688_c0_g1	blue
TRINITY_DN141755_c1_g1	blue
TRINITY_DN20055_c3_g1	blue
TRINITY_DN3993_c7_g1	blue
TRINITY_DN20135_c0_g1	blue
TRINITY_DN4167_c0_g1	turquoise
TRINITY_DN17666_c1_g1	blue
TRINITY_DN2521_c0_g1	blue
TRINITY_DN30380_c0_g1	blue
TRINITY_DN41174_c2_g1	blue
TRINITY_DN7073_c5_g1	turquoise
TRINITY_DN21807_c0_g1	blue
TRINITY_DN16045_c0_g1	turquoise
TRINITY_DN75305_c1_g1	turquoise
TRINITY_DN32001_c0_g2	blue
TRINITY_DN21250_c0_g1	turquoise
TRINITY_DN144001_c0_g1	turquoise
TRINITY_DN62595_c0_g1	turquoise
TRINITY_DN4913_c2_g1	blue
TRINITY_DN182_c0_g2	blue
TRINITY_DN99769_c2_g1	turquoise
TRINITY_DN345_c0_g1	turquoise
TRINITY_DN398_c0_g2	blue
TRINITY_DN28371_c1_g1	turquoise
TRINITY_DN918_c1_g2	blue
TRINITY_DN125877_c0_g1	turquoise
TRINITY_DN72951_c0_g2	blue
TRINITY_DN153133_c0_g1	blue
TRINITY_DN24105_c0_g1	turquoise
TRINITY_DN21677_c1_g1	blue
TRINITY_DN1070_c2_g1	turquoise
TRINITY_DN1293_c0_g1	turquoise
TRINITY_DN418_c11_g1	turquoise
TRINITY_DN123785_c3_g1	turquoise
TRINITY_DN6618_c0_g1	turquoise
TRINITY_DN5380_c0_g1	turquoise
TRINITY_DN2392_c0_g1	turquoise
TRINITY_DN61498_c2_g1	turquoise
TRINITY_DN130239_c3_g1	turquoise
TRINITY_DN21881_c0_g1	blue
TRINITY_DN139652_c0_g1	turquoise
TRINITY_DN36959_c1_g2	blue
TRINITY_DN208070_c0_g2	blue
TRINITY_DN4994_c0_g1	turquoise
TRINITY_DN8956_c30_g1	blue
TRINITY_DN68894_c1_g1	blue
